bill_id,x,y
HCONRES14-119,7.446017703739471,-2.427598108634764
HJRES20-119,8.064493116256639,-1.444068524785824
HJRES24-119,7.603069271248954,-2.069567770536635
HJRES25-119,7.619784877395579,-2.118218325790262
HJRES35-119,7.851663787338655,-1.7861359172329423
HJRES42-119,7.555364910927249,-2.219973232053603
HJRES60-119,7.510330503685543,-2.3231303033746267
HJRES61-119,7.85436114178216,-1.7465027913451194
HJRES75-119,7.667845825851189,-1.967134491254604
HJRES78-119,7.617468268736049,-2.150681503894812
HJRES87-119,7.958697142608221,-1.6133056565420538
HJRES88-119,8.303086108224532,-1.0339173376201845
HJRES89-119,8.129322272464352,-1.3422169546691953
HR1-119,7.425576429659355,-2.4221624353140583
HR1039-119,7.636572486532992,-2.122247384971263
HR1048-119,7.838844658507284,-1.6997809723330013
HR1156-119,7.9611444058796215,-1.57213804056184
HR1223-119,7.5519744845246155,-2.2615633929615795
HR1228-119,7.466357657521359,-2.389427461680359
HR1263-119,7.533114362961404,-2.252367681963253
HR1286-119,7.810861884614726,-1.8135688223966473
HR1326-119,7.4501636587580675,-2.3541516922013743
HR1402-119,7.4874269153391815,-2.355529978009832
HR144-119,7.464470307422755,-2.396567625194538
HR1442-119,7.468552284405454,-2.3494283300065604
HR1491-119,7.451365692535194,-2.3472717532935956
HR1503-119,7.450168610688143,-2.379855000056848
HR152-119,7.507635058499886,-2.3657700436287983
HR1526-119,7.7457926539013116,-1.9473070155232868
HR153-119,7.505414491876298,-2.3668255643799747
HR1534-119,7.428019657354101,-2.3846034429397
HR164-119,7.465521963512713,-2.3924682237299386
HR1642-119,7.5126573870784465,-2.2481781997894603
HR165-119,7.446518168832068,-2.4201338361074716
HR1709-119,7.494430640109948,-2.2801038729801975
HR1717-119,7.4502734017235355,-2.3903375553573047
HR1770-119,7.472616865376413,-2.317097683265699
HR1804-119,7.447479877437689,-2.392055852802366
HR186-119,7.59773587075687,-2.14424820601412
HR187-119,7.491830875565797,-2.324355781626298
HR1917-119,7.517706213619645,-2.208400289853268
HR1919-119,10.310635605949683,2.1394439803486733
HR192-119,7.484250810090335,-2.395603693529408
HR1968-119,7.427204265655434,-2.4212633749263786
HR1998-119,7.494987976276924,-2.2804465892468433
HR2035-119,7.428647804610856,-2.385522985372726
HR2056-119,7.450920595397879,-2.3823572339581975
HR2096-119,7.4928995885305065,-2.3177846726361158
HR21-119,10.92731155648745,3.0980882538743413
HR22-119,9.795497937189555,1.2992161340133592
HR2215-119,7.427128687391445,-2.419146527785887
HR2240-119,7.916809273656737,-1.6799110015942433
HR2243-119,7.830525357830216,-1.8144030406407348
HR2255-119,7.445596355528935,-2.4266732300851057
HR23-119,8.278764373942206,-1.1415639832927025
HR2483-119,7.447866751755623,-2.3814702739545743
HR249-119,7.67923244704826,-2.0514523320179676
HR26-119,7.829647596220411,-1.8180800553741374
HR27-119,8.749593237433938,-0.359030672860328
HR275-119,7.538548561887713,-2.209427965813933
HR276-119,7.809616077908616,-1.8504233162161041
HR28-119,9.236904630159891,0.38586115662764586
HR29-119,8.619131962575837,-0.6016119389788622
HR2931-119,7.44981550138982,-2.387197823210845
HR2966-119,7.446815380895481,-2.3856222552860666
HR2987-119,7.4259011691744865,-2.4223077199343925
HR30-119,8.74788810693711,-0.39395735511954
HR3095-119,8.094484382162424,-1.2916780838446589
HR3351-119,7.45429730527381,-2.314214014439582
HR3357-119,7.389837203650782,-2.4124711066956737
HR3394-119,7.489350093391467,-2.3227811305375936
HR3422-119,7.427825410530657,-2.387735931003049
HR35-119,8.130475719697422,-1.3413784412700474
HR359-119,7.428369053313734,-2.3875523152916944
HR36-119,7.831454919378763,-1.8121160868121882
HR3633-119,7.875663033570895,-1.7162717314678568
HR375-119,7.447808198100172,-2.388436666726342
HR3937-119,7.389056660412084,-2.4138150108170633
HR3944-119,7.427070935810992,-2.4217439711809057
HR4-119,7.534695166750777,-2.250139489657972
HR4016-119,7.427269562164062,-2.424626041447531
HR43-119,7.444714140198271,-2.4290812561204578
HR471-119,8.642209055286017,-0.535785759623015
HR495-119,7.59899905857768,-2.1520384477104515
HR517-119,7.41104027993959,-2.3786969131155913
HR530-119,8.171172715564214,-1.2702721894349194
HR586-119,7.6159299869158055,-2.1509364066778303
HR692-119,7.659602272987285,-2.0896331351817183
HR695-119,7.528903351128302,-2.282036789700017
HR736-119,7.701956632620813,-2.0262623287809522
HR758-119,7.510487685142442,-2.322062225023686
HR77-119,7.703106732330801,-2.015292803243634
HR776-119,7.50948136337374,-2.3240261946326526
HR788-119,7.508130334016205,-2.3305803011940736
HR804-119,7.529143891025711,-2.2931113250773567
HR818-119,7.532099735666764,-2.2547808980107114
HR825-119,7.4900129237545245,-2.3203498609500763
HR832-119,7.490274987018394,-2.31944409475933
HR856-119,7.467205619362186,-2.3972917002692484
HR859-119,7.44729348368378,-2.3833466487468935
HR875-119,7.899743005949636,-1.6340318440941561
HR881-119,7.5525161996997845,-2.254555419461361
HR884-119,7.7260438731621885,-1.9421470809122565
HR901-119,7.471467015883893,-2.354213231749397
HR973-119,7.918287623216486,-1.643055457107625
HR993-119,7.47043581090752,-2.3575205297001696
HR997-119,7.411183129711255,-2.3785995866305396
HRES177-119,7.447260260713218,-2.4253676303734735
HRES189-119,8.153126948262363,-1.2651938504109623
HRES352-119,-0.34953619212561265,0.06080753418382659
HRES481-119,0.9109652614485427,2.0520347730579713
HRES5-119,7.46628347271555,-2.4243974974158573
HRES516-119,7.598918361747171,-2.1422462218789406
HRES519-119,-0.4357208513386806,-0.07499038153980911
HRES537-119,-0.5627809240808211,-0.2801184816663972
S146-119,7.896032520697339,-1.7079657533422887
S1582-119,7.534514255666859,-2.254085990410065
S1596-119,7.430211037226701,-2.379012049310827
S331-119,8.090396465543645,-1.3682581811402932
S5-119,8.579228868584742,-0.6305600461689503
S6-119,0.39725282656419975,1.244341117223144
S9-119,0.33254277973143076,1.139747141592092
SCONRES7-119,-0.5853099759059368,-0.3266588542769666
SJRES10-119,-0.3496890744802533,0.04435230757181182
SJRES11-119,7.470201221295544,-2.3568681169482057
SJRES12-119,-0.030383329808264612,0.5512844564210093
SJRES13-119,7.55348507599868,-2.257814519819456
SJRES18-119,7.7865990790230395,-1.8851562282851275
SJRES26-119,-0.5839571029799066,-0.317545366972527
SJRES28-119,7.551418603547591,-2.256989326051738
SJRES3-119,-0.2864919700725957,0.14677624119004265
SJRES31-119,7.534216450462997,-2.2548399558665477
SJRES33-119,-0.5839571029799066,-0.317545366972527
SJRES34-119,-0.5412483626747169,-0.24994547281647062
SJRES37-119,-0.39337684239083637,-0.01536112441783072
SJRES49-119,-0.456938645158431,-0.11601930155837664
